source_id,mass_flame,mh_gspphot,lum_flame,evolstage_flame,teff_gspphot,radius_gspphot,spectraltype_esphs
6030020936969558016,0.7771658,-2.4432,0.19010764,169,4786.0205,0.4085,B
6030050039664208256,1.1066036,-1.2793,1.1788781,116,6014.7056,1.0076,F
6030078867485304448,0.86794865,-0.2993,0.5063439,272,5259.5947,0.7015,K
6030078867485349248,0.97582227,-0.1456,0.84536743,238,5714.284,1.1083,F
6030078867493166592,0.85012794,-1.1964,0.4984021,314,5275.734,0.595,G
6030078871887370496,0.99918115,-0.3852,0.6306495,117,5638.737,0.8347,G
6030050074023970304,0.8486429,-0.8381,0.5544533,316,5266.7344,0.6304,G
6030021040048783744,0.88843334,-0.3123,0.5931788,272,5312.686,0.7822,F
6030021040049473664,0.82161105,-1.6025,0.37726837,235,5075.462,0.5217,A
6030050078392916224,1.4484434,-0.7871,5.923968,249,6638.8306,1.5923,F
6030020907021015424,0.8418177,-0.0436,0.7649827,359,4985.507,0.861,K
6030050108383711104,0.86659914,-0.7089,0.7124292,343,5383.1436,0.6746,F
6030021044469104896,0.94632787,-0.8325,1.1454791,359,5679.0513,0.6661,F
6030021074412001920,0.8893842,-0.1485,0.98998034,360,5223.6055,0.8997,F
6030021074414414848,0.80324435,-1.5514,0.34376833,269,4901.2427,0.491,G
6030078936212642048,0.78962773,-0.4173,0.2232867,139,4873.96,0.6373,K
6030021108768946176,0.7766095,-1.2974,0.24729556,184,4852.913,0.5067,K
6030021108774149248,0.78572696,-1.533,0.35083625,302,4878.259,0.491,F
6030078974939636736,0.8745875,-0.6142,0.49094093,231,5288.127,0.6559,K
6030021177487756032,0.88348854,-1.3787,0.85083216,357,5425.793,0.6044,F
6030021177487767168,1.308492,-0.3391,3.935316,276,6367.828,1.6063,F
6030021177493625216,0.71626866,-1.137,0.22711907,303,4521.9565,0.8407,K
6030050215831896448,0.8667813,-1.5509,0.5340933,299,5289.9854,0.5548,B
6030050215831898112,0.7099351,-0.2496,0.19670425,334,4434.5093,0.8221,K
6030050245826978432,0.88039696,-1.5106,0.8552204,356,5409.221,0.5886,F
6030050245853110400,0.7973402,-0.5365,0.31879917,252,4943.718,0.6274,K
6030079073643911552,1.0923809,-0.8045,1.4463066,247,6053.526,0.9651,F
6030021246207256448,0.798203,-0.7901,0.38282424,355,5020.2495,0.6044,K
6030050280182420736,0.93318284,-1.2009,0.48416784,160,5677.0815,0.6459,F
6030079112378171776,0.89977,-1.0435,0.6643711,296,5480.9893,0.6426,G
6030079142367049088,0.667939,-0.353,0.12718844,179,4250.947,0.5701,K
6030050318911153536,0.7374838,-0.7563,0.21316113,251,4597.395,0.8154,K
6030050353270903552,0.8887836,-0.9764,0.9888952,359,5122.4463,1.219,K
6030021319337957120,0.8632906,-1.4099,0.75590533,350,5275.0215,0.5731,G
6030079181038079232,0.68004274,-1.1776,0.12522447,135,4329.9434,0.6714,K
6030079108003346816,0.84515345,-0.6256,0.7434377,355,4694.794,1.286,K
6030050387630627584,0.8879668,-0.5508,0.46197253,159,5367.383,0.695,F
6030050387631309440,0.7658998,-0.6181,0.21005075,136,4706.1274,0.8244,K
6030079211082663424,1.5563005,-0.9159,6.7272825,167,7391.587,1.623,F
6030050417621404160,0.77262074,-0.1916,0.50470203,353,4748.6895,0.6707,K
6030050417621427968,0.8667406,-0.5698,0.6679226,339,5385.5347,0.7162,G
6030021388057330176,0.9537309,-0.4977,0.6112521,132,5506.0474,0.7533,F
6030021388057341056,0.8547432,-0.5504,0.6128819,330,5298.798,0.9069,G
6030079215457409920,0.87864274,-1.6138,1.1520634,360,5518.4756,0.73,M
6030079215457908608,0.7232046,-0.3759,0.2154235,320,4503.9746,0.6113,K
6030079215484872704,0.8512919,-0.8382,0.4400248,298,5141.974,0.9003,F
6030050451981162112,0.82850224,-1.5007,0.30921084,182,5170.6523,0.5339,F
6030079245442404096,0.8410444,-1.1594,0.4287345,294,5164.6636,0.5702,F
6030079245442417920,0.8392889,0.3431,0.42842045,256,5123.6953,0.8143,M
6030050456350141056,0.702997,-1.7275,0.12099725,103,4396.383,0.5976,F
6030021452369186816,0.69913745,-1.2714,0.2177752,352,4357.921,0.8333,K
6030021452369199872,0.73440087,0.0186,0.26965275,359,4622.764,0.6979,K
6030050486340920320,0.9109574,-2.4941,0.41920462,153,5489.3755,0.5773,B
6030050486340930176,0.70680237,0.4747,0.157991,187,4427.545,0.656,K
6030079211082642944,0.86023754,-1.495,0.8617178,359,5407.4697,1.0786,G
6030079284117278208,0.8089405,-1.3928,0.40528318,314,5011.185,0.5256,G
6030021456776846208,0.7846688,-1.2087,0.38736427,325,4929.154,0.5557,F
6030021486730458624,0.8607365,-1.4932,0.3232971,115,5341.7354,0.6568,G
6030079284176867456,0.85452855,-0.4856,0.6401766,345,5277.6807,0.6974,K
6030079284176886272,0.8903744,-1.773,0.83573496,335,5518.655,1.0321,K
6030079314161931136,0.8749774,-0.8364,0.45539057,276,5198.654,0.9157,F
6030079318477041920,0.8925605,-1.4706,0.8583893,350,5522.6157,0.6089,F
6030021491136588928,0.7520339,-1.2855,0.29187182,284,4687.169,0.4787,K
6030079318477046528,0.9345901,-0.7396,0.6159315,190,5538.5312,0.6857,G
6030021525496288512,0.8284358,-1.2261,0.40359396,244,5121.136,0.5621,F
6030050589420025472,0.8559796,-1.5389,0.7403587,357,5347.5537,1.0193,G
6030021559865162496,0.8691967,-1.5427,0.760396,348,5470.3926,1.0943,F
6030050658139509376,1.2705349,-2.6599,3.5134063,302,6180.2437,1.553,G
6030079421615872896,0.91622376,-0.2705,1.3075644,359,5026.49,1.5067,K
6030021624167976064,0.8192189,-1.5753,0.3204779,176,5106.036,0.5297,F
6030021628575555712,0.88014966,-0.3106,0.85188097,358,4721.753,1.4307,G
6030021658527637120,0.78371775,-1.2564,0.38286132,309,5038.265,0.7893,F
6030050593789183488,1.3238372,-1.2081,4.2292533,297,6220.5835,1.3016,G
6030050696800149760,0.87295747,-0.5848,1.037221,359,5443.9844,0.7205,G
6030021662935307520,2.3695743,-1.4665,37.41666,169,10014.063,1.9905,A
6030021662935318272,0.8816382,-0.5839,0.6978621,336,5437.607,0.714,K
6030021727247199360,0.8681395,-1.0584,0.6801477,330,5408.0693,0.6283,F
6030079559054826240,0.94360495,-0.3144,0.5194818,125,5602.0293,0.8647,G
6030079589043683968,0.8683509,-1.5341,0.60990494,348,5243.0356,0.9603,K
6030021727249536000,0.7293267,-1.0802,0.17879894,164,4561.906,0.4868,O
6030050795578464640,1.1014718,0.3117,1.3737397,225,7972.642,19.7469,B
6030021731655395072,0.90085405,0.0653,1.0370697,359,4798.812,1.5186,K
6030050799947628800,0.90327966,-0.5362,1.1284375,359,5105.153,1.4239,K
6030050799947630080,0.8533883,-0.7152,0.7048772,352,5312.756,0.6608,K
6030050799947633408,0.88862026,-0.4632,0.8528236,350,5511.7183,0.7583,G
6030021795966704384,0.865166,-0.7328,0.39373296,160,5264.5776,0.6431,F
6030021800374270592,1.0110519,-0.9153,1.5754372,356,5878.701,0.7912,G
6030050868599431168,0.75626385,-0.0955,0.21898848,191,4669.322,0.6527,K
6030079662074389376,0.8235801,-0.0058,0.28082374,146,5007.591,0.7195,K
6030050898657728896,1.1578852,-0.9652,2.3469846,310,6130.166,1.3172,F
6030079692119102464,0.9366409,-0.5038,1.3580222,359,5481.8228,0.7353,K
6030021869054569216,0.8528302,-0.4332,0.7536249,355,5367.692,0.7306,G
6030079696493737344,0.91036105,-1.0267,0.8916428,350,5637.985,0.6538,G
6030050937386640768,0.9356943,-0.4656,0.58561265,159,5506.099,0.9369,G
6030021899083046400,0.6424969,-0.8114,0.09641718,337,3762.082,0.5994,M
6030021903414303104,0.7801032,0.4214,0.29089278,245,4851.011,0.7603,K
6030021903453509504,1.4192612,-0.5939,5.110161,216,6804.237,1.4149,F
6030079829558192512,0.939509,-0.9651,1.1514243,360,4802.2725,1.0211,K
6030021972173020288,0.7365935,0.3497,0.24502106,298,4580.199,0.7161,K
6030022002121536512,0.8779846,-2.4201,0.4757215,346,5130.453,0.9374,M
6030022006532766848,0.8482892,-0.4044,0.56788415,337,5203.6562,0.9427,K
6030051040465870464,0.90388364,-2.3372,0.46972716,131,5350.349,0.8298,O
6030051070456421376,1.2537401,-1.7731,3.3113275,298,6194.7075,1.6259,F
6030051070460707584,0.81067705,-0.0903,0.6246587,352,5127.0464,0.8851,G
6030051074757330432,0.73214674,-1.1574,0.28848657,343,4621.625,0.8878,K
6030022040892507264,1.394235,-0.1434,5.313737,290,6296.4897,1.732,F
6030022105202004096,0.73292243,-1.3149,0.2884383,350,4542.4805,0.4569,K
6030079902652686592,0.8526533,-0.2205,0.6859435,342,5205.6504,0.7247,F
6030079932645049728,0.70064324,-1.9244,0.16417632,237,4390.4087,0.71,K
6030079937011959808,0.8040061,-0.9496,0.34054577,237,4957.649,0.5745,K
6030022139560520704,0.7178318,-0.7944,0.23179598,291,4454.3433,0.5211,K
6030050971746374016,0.76187104,-0.6473,0.32691026,284,4658.548,0.5697,K
6030051139175942784,1.1066059,0.1657,1.2206928,128,6002.9062,1.0395,G
6030051139184095360,0.9196533,-1.4396,0.5159866,151,5475.723,0.5845,G
6030022173923844480,0.8281752,-0.9877,0.28629276,125,5206.9854,0.6788,F
6030079971371694720,0.77507734,-1.5527,0.3329541,338,4945.24,0.8997,F
6030080001356885632,1.2342281,-0.804,2.5307095,195,6409.4727,1.1555,F
6030080005671937920,0.7039729,0.0017,0.13277534,116,4327.011,0.6192,K
6030051143545026432,1.7864798,-0.5342,11.396415,142,8309.191,1.7482,A
6030080005671975296,0.8170299,-0.1389,0.28736684,193,5010.671,0.7689,K
6030080035746873600,1.8684188,-1.118,17.732948,253,7170.1045,2.3585,F
6030051207895436800,0.79548335,-0.8926,0.39401028,283,5021.454,0.5741,F
6030022242639727104,0.7354737,-0.774,0.2721871,292,4795.415,0.5678,F
6030080070076457728,0.8197939,-0.476,0.34789118,275,4973.274,0.804,K
6030080070076470144,0.832953,-1.0442,0.5325246,356,4566.328,0.8822,K
6030022276999474432,1.1697459,-0.3503,2.5157738,326,6069.432,1.4138,F
6030022277005341696,0.76396734,-0.3258,0.26536947,309,4788.239,0.7057,K
6030022311359216384,0.75260997,-0.5983,0.392192,340,4611.639,0.6169,K
6030051280983986176,0.9380797,-0.8986,1.0847995,342,5898.3105,1.7106,G
6030051310974723968,0.78882265,0.2629,0.3488609,351,4870.5576,0.7892,M
6030022380082310912,0.7235779,-0.899,0.25667655,309,4505.5176,0.6097,K
6030080177530671104,0.98297393,-0.4969,1.388166,357,5811.1514,0.894,G
6030051345342520832,0.77077055,-1.4466,0.53771806,352,4775.808,0.4724,M
6030022414438452992,0.7224795,-1.0607,0.25193167,331,4573.458,0.498,K
6030022414438458112,0.89173895,-1.445,0.9382758,359,5509.8784,0.5923,G
6030022414439016576,0.81453955,-1.862,0.33725107,194,5036.031,0.5003,G
6030080241874968448,0.8220487,-0.3926,0.4822268,322,5144.2925,0.6646,K
6030022315770503168,1.4769672,-0.6183,5.900355,206,6937.5264,1.4743,F
6030022418849697920,1.4125415,-0.0935,5.5110536,271,6452.899,1.7416,F
6030051414053885952,1.0967124,-0.7614,1.0667876,125,6010.8867,0.8551,F
6030051418423000960,0.7175368,-0.4206,0.14357482,103,4467.671,0.5995,K
6030022483162299264,0.8912833,-2.9329,0.74013144,323,5542.51,0.685,B
6030051418423034240,0.8301791,-1.4786,0.2773416,112,4989.1455,0.6878,F
6030051448413651712,1.0854379,-0.7481,1.2273672,175,6007.736,0.9568,G
6030080276234698496,0.8702285,-0.6304,0.86704403,358,5515.19,0.7108,K
6030080310594496128,0.73278373,-0.4304,0.19158176,189,4565.9146,0.5967,K
6030022556288588544,0.80423075,-1.906,0.27851936,173,5011.466,0.4924,A
6030022586240802816,0.81846136,-0.3689,0.5395714,354,4886.0664,1.0158,K
6030080344961925376,0.68382335,0.1136,0.16423552,270,4325.2964,0.6439,K
6030080349329127296,0.69821835,-2.5116,0.15491691,193,4396.4263,0.6758,A
6030080379313970816,0.7174745,-1.3909,0.22204812,296,4492.4326,0.8189,G
6030080379314026112,0.78529024,0.0225,0.2994583,213,4834.236,0.7765,K
6030080379314037120,0.6919,-0.8912,0.20069227,343,4338.481,0.8599,K
6030051521540383744,0.7643691,-0.3179,0.33588076,311,4728.3154,0.6486,K
6030022625008440960,0.7999402,-2.9422,0.30155715,226,5058.0024,0.4896,K
6030051555862012416,0.88930637,-0.5833,0.41865334,145,5448.2983,0.7525,K
6030022693688573056,0.93297,-1.964,0.9540899,331,5639.545,0.6183,G
6030022693727578496,0.57929003,-0.8997,0.08184829,238,3721.866,0.544,K
6030022723679837184,0.9047888,-1.5796,0.3832483,116,5356.065,0.5691,G
6030022723679867776,0.8729344,-1.1948,0.6694279,333,5465.26,0.6048,K
6030080482393204736,0.8917109,0.0359,0.30943403,131,5327.903,1.6047,K
6030022728087293440,0.9062265,-1.7132,0.95131075,356,5529.408,0.591,G
6030051654578407040,0.86946416,-0.4299,0.6594169,342,5258.2812,0.7076,G
6030022758037284992,1.5270226,-0.1264,7.66587,267,6581.2134,3.0891,A
6030022762447065856,0.53357244,-0.0548,0.047318205,192,3630.2717,0.5009,M
6030051688938133760,0.7346105,-1.036,0.39794493,352,4643.4883,0.5074,K
6030051688938151424,0.8400628,-0.4032,0.66663396,354,5258.134,0.7213,K
6030022792401423744,0.7055436,0.0088,0.14535694,126,4423.432,0.7636,K
6030022796806799744,1.3800136,0.438,12.896914,352,4728.687,0.8871,F
6030022796807153152,2.3418932,-1.4045,36.72537,181,9837.497,2.0779,A
6030022826759021568,0.8195575,-1.4514,0.571858,330,5070.942,0.529,F
6030080555487649280,2.9905465,-0.01,135.51933,287,9413.3545,4.2851,A
6030080585472496896,0.92009705,-0.4301,0.7547739,288,5570.956,0.7952,K
6030051723291346944,1.076105,-0.9699,1.5634859,301,6003.2656,1.2053,G
6030051723326314624,0.7797862,-1.0525,0.22289294,130,4796.0522,0.5275,K
6030022861118775936,1.5088735,-1.2569,4.5518394,124,7298.391,1.3999,F
6030080619832227584,0.8602651,-0.3199,0.880829,359,5422.6694,0.7716,K
6030080624207104640,0.73561263,-1.1337,0.2836221,325,4418.2505,0.8393,K
6030080654192061440,1.0388966,-0.4882,1.4768469,322,5918.0664,1.1642,F
6030022929838296960,0.7171267,-0.0154,0.1291609,119,4473.927,0.7627,K
