tic_id,gaia_id,spectype,M,L,Teff,R,met
TIC 100100827,4955371367334610048,F,30.410440186693354,26.951480264267506,6311.6724,1.2809,-4.433
TIC 100389539,2930141657016297216,F,30.392627506201233,26.985647224134393,6184.962,1.4273,-4.333
TIC 100990000,4848767461548943104,F,30.339108250474744,26.793832462782536,6056.6504,1.1603,-4.62
TIC 10195089,4081376064109034496,K,30.175877256230446,25.86739475185641,4570.594,0.6965,-4.784
TIC 102068384,6840435777723109888,K,30.247895917005586,26.373033322331786,5132.2617,0.9505,-4.3
TIC 102192004,6139403450370668800,F,30.39192759552291,27.005854207979077,6270.329,1.5136,-4.48
TIC 102840239,5415648821879172096,K,30.18836763161886,26.07048373567856,4857.2495,0.7818,-4.63
TIC 105138916,4070009007975710464,G,30.323811775625444,26.66544524301959,5727.3555,1.1191,-4.48
TIC 106402532,5392409372314518656,G,30.278963802636774,26.497991493481436,5624.889,0.9532,-4.58
TIC 106900981,5391813299572883456,G,30.315539249659455,26.785791857729834,5891.382,1.2256,-4.52
TIC 10827386,2929750922377138816,K,30.271171502626785,26.291955300969683,5175.136,0.8823,-4.187
TIC 114018671,5592015297342611968,G,30.25754730268177,26.410947436844673,5454.17,0.9282,-4.51
TIC 114299824,5592019557950033536,G,30.376055490812465,26.691186436700043,5766.027,1.1267,-4.432
TIC 115010361,3638010855046147200,G,30.23802516297929,26.48620605113369,5456.0806,0.9967,-4.75
TIC 115524421,1358355738906114816,G,30.298505910360674,26.41510537564957,5374.489,0.9498,-4.43
TIC 11561667,5466556141521710592,K,30.114747210352455,25.739978893533063,4343.7573,0.6728,-4.287
TIC 116483514,1401760747118886016,K,30.079902215557464,25.69594584996671,4045.429,0.7149,-4.5280000000000005
TIC 1167538,4877544322252002048,G,30.313026449118595,26.621897095228448,5754.232,1.0503,-4.36
TIC 117414377,690025807939789184,G,30.256591758881758,26.740642444498548,5829.9785,1.1636,-4.716
TIC 11749208,5638825939745228544,G,30.247895917005586,26.406653396504534,5398.728,0.9374,-4.51
TIC 119292328,5574111674620962688,G,30.16773763009165,26.357547209611887,5412.4707,0.8772,-4.65
TIC 119585136,3979511431397114752,M,30.04358070194273,25.421447987689966,4454.0938,0.5964,-4.8100000000000005
TIC 120610833,2308834780352875904,K,30.227924836074965,26.319127234484025,5157.767,0.9304,-4.57
TIC 120825566,2099068444479581184,K,30.182734679993278,26.377827601646505,4936.195,1.0516,-4.7700000000000005
TIC 120973167,2100392428275714688,F,30.311343135065844,26.707099911578826,5957.8623,1.079,-4.78
TIC 121214185,2099606483621385216,F,30.447108565166765,27.279619499742573,6164.738,1.9689,-4.57
TIC 122450696,2052827207364859264,G,30.302827284143316,26.483231765241694,5732.3125,0.9059,-4.42
TIC 122784501,2050249406650364160,K,30.266053886579535,26.303843749427045,5282.6753,0.8701,-4.42
TIC 124029677,2942084865853011712,F,30.39192759552291,26.98685227526314,6120.065,1.3511,-4.42
TIC 124379043,2913482170369046656,F,30.346947713911078,26.867544766439256,6160.9077,1.2152,-4.645
TIC 124573851,3777506754255516800,G,30.2527484198,26.56189557782918,5818.302,0.958,-4.6
TIC 12666215,6237129658760381056,G,30.315539249659455,26.63666890253179,5680.2427,1.1155,-4.31
TIC 127530399,6099012478412247296,K,30.195582913570092,26.025969918265243,4783.05,0.7688,-4.39
TIC 12785571,2600942622915012608,K,30.142112460893024,25.737393095351482,4375.949,0.7155,-4.534
TIC 12821302,2601048588348190976,K,30.177027705861878,25.76171033152829,4466.246,0.6491,-4.891
TIC 12822545,2594546351459477760,K,30.08738102613609,25.691393581714404,4241.413,0.6519,-4.56
TIC 12862099,2424406513428936832,G,30.26931752123319,26.419404549461447,5368.3022,0.9555,-4.543
TIC 130181866,875071278432954240,G,30.29414110495822,26.45807557438726,5641.1553,0.923,-4.51
TIC 1333933,4873830691665395584,G,30.2963289911064,26.4574055048454,5501.159,0.9129,-4.39
TIC 134200185,5509620021956148736,K,30.16773763009165,25.888724809043318,4495.351,0.7402,-4.42
TIC 137150039,2052582432887909376,F,30.304971952609904,26.730843165395616,5894.7173,1.1267,-4.68
TIC 137685450,2051866238502437632,F,30.376237090013063,26.91039946502495,6089.895,1.2989,-4.421
TIC 137686948,2051933102555095936,K,30.18892692916159,26.01285452357629,4777.2373,0.743,-4.52
TIC 13894108,4153949058525858048,G,30.28077714340024,26.451044165681306,5432.4214,0.9704,-4.83
TIC 14111411,65331198513957376,K,30.09715655580594,25.73062566508629,4393.2896,0.6703,-4.765
TIC 141488193,1111639314047794944,F,30.38841102180007,26.89009841221612,6056.1055,1.2657,-4.4
TIC 14160842,49784688211974144,K,30.14360395037493,25.832344658743853,4507.1626,0.7027,-4.4
TIC 142211778,3462511310147530752,F,30.29980684338109,26.81924703281243,5933.343,1.3986,-4.39
TIC 142276270,1677343097418015488,G,30.315706253884507,26.556224649678594,5672.2026,1.005,-4.465
TIC 14344979,3803004978659671040,G,30.192821973045113,26.39901888356429,5607.3213,0.8365,-4.85
TIC 144700903,3340265717587057536,M,30.104006768519074,25.665392895496346,4139.6934,0.6797,-4.202
TIC 14570099,677884760027950080,K,30.14976425907975,25.915581420653247,4626.415,0.7195,-4.72
TIC 146364192,2597119620985658496,G,30.2527484198,26.396934255458646,5322.863,0.9519,-4.49
TIC 146520535,2974906868489280768,K,30.24298858251084,26.29937008721411,5267.6655,0.8585,-4.54
TIC 146799150,2603155390066307456,K,30.142983086106355,25.821055270819517,4498.2466,0.6902,-4.46
TIC 147677253,3694743765254445312,G,30.24298858251084,26.80083855970401,5919.8633,1.1903,-4.99
TIC 147950620,1074139748425931008,G,30.291280274616028,26.42388999845294,5364.139,0.9646,-4.192
TIC 147977348,5580554052549277056,F,30.484897126056165,27.35106423039916,6137.0757,2.142,-4.468
TIC 148563075,3758629479636689536,G,30.298302178469797,26.378783892083543,5316.47,0.929,-4.17
TIC 148673433,784983789642216320,K,30.16182877048113,25.944926919230713,4675.604,0.7152,-4.112
TIC 149496868,3871908447498807296,K,30.313026449118595,26.084447659956872,4842.2334,0.7983,-4.408
TIC 150030205,5482316880495405056,K,30.218629236651395,26.173368447295413,5090.5107,0.799,-4.59
TIC 150151262,5284358990266469760,K,30.163016991419067,25.860988477788226,4526.034,0.6992,-4.56
TIC 151724385,4216036349838071424,G,30.253230701339735,26.623693894764273,5491.2896,1.1546,-4.8100000000000005
TIC 151825527,5396580575830873728,M,30.030819237831917,25.427813670494256,3511.4998,0.6712,-5.25
TIC 1528696,4875693023844840448,K,30.183301274309652,26.0001019729441,4735.475,0.7592,-4.43
TIC 153078576,4847001302277419904,M,30.037286468845043,25.365812059814093,3737.4248,0.5829,-4.33
TIC 153289168,3319126988068404096,G,30.262240391738224,26.553619168691206,5637.694,1.0171,-4.6262
TIC 153951307,1685195530290375168,K,30.069357922002816,25.652670611085174,4194.348,0.6532,-4.23
TIC 154872375,1726858366624544640,F,30.349658432808056,26.795088220863615,6000.5503,1.1819,-4.54
TIC 157236902,4521842556801236352,G,30.26698885891461,26.569700094834168,5442.6216,1.0246,-4.6
