tic_id,spectype,Teff,R,M,met,L
TIC 101955023,M4.5 V,3270.0,0.207,29.556184485229856,-4.66,24.224441929104806
TIC 103633434,M0.5 V,3997.0,0.619,30.097846459814257,-4.21,25.528931929104807
TIC 103751498,G0 V,5738.0,1.315,30.310921285123104,-4.515,26.810861929104806
TIC 1056530200,K3 V,4875.0,0.85,30.11141926700353,-4.37,26.139271929104805
TIC 112243062,G1 V,5781.0,1.39,30.26229373770623,-5.07,26.870971929104805
TIC 114062899,M2 V,3584.0,0.45,30.014509253995474,-4.83,25.092971929104806
TIC 114807081,G2 V,5894.0,1.93,30.415777206016436,-4.2700000000000005,27.192971929104807
TIC 11749208,G5 V,5317.0,1.04,30.247895917005586,-4.51,26.476971929104806
TIC 118327550,M2.5 V,3433.0,0.426,29.929949679373845,-4.93,24.940331929104804
TIC 119147875,M1 V,3685.0,0.5,30.014509253995474,-4.62,25.205971929104805
TIC 119262291,G0 V,6149.0,1.155,30.385577116267207,-4.26,26.797811929104807
TIC 119584412,M0.5+/-0.5 V,3863.0,0.547,30.04358070194273,-4.73,25.352941929104805
TIC 121284864,G2 V,5926.0,1.36,30.323811775625444,-4.56,26.919431929104807
TIC 122441491,K1 V,5170.0,0.86,30.26698885891461,-4.3,26.259971929104807
TIC 122596693,K1 V,5150.0,0.8,30.23802516297929,-4.45,26.192971929104807
TIC 122958010,M0.5 V,3837.0,0.56,30.054380766033166,-4.68,25.365971929104806
TIC 123417316,G5 V,5597.0,1.179,30.303257065951673,-4.628,26.672881929104808
TIC 125843782,M V,3100.0,0.84,29.528954831738947,-4.53,25.419291929104805
TIC 12666215,G2 V,5731.0,1.06,30.311343135065844,-4.28,26.620401929104805
TIC 127530399,K4 V,4686.0,0.758,30.195582913570092,-4.39,26.007851929104806
TIC 12862099,G8 V,5420.0,0.906,30.26931752123319,-4.543,26.385201929104806
TIC 12906712,F8 V,6255.0,1.67,30.409095620659922,-4.53,27.184971929104805
TIC 130181866,G5 V,5688.0,0.912,30.29414110495822,-4.51,26.458031929104806
TIC 130924120,K0 V,5278.0,0.78,30.201595897352618,-4.8100000000000005,26.206221929104807
TIC 13147218,G3/G5 V,5935.0,1.97,30.438384996761908,-4.19,27.222971929104805
TIC 138294130,G1 V,5860.0,1.59,30.398876455478234,-4.3,27.011101929104807
TIC 141488193,F V,6096.0,1.293,30.38841102180007,-4.4,26.899361929104806
TIC 142103211,F7 V,6420.0,1.4367,30.415777206016436,-4.46,27.084971929104807
TIC 144289338,G3 V,5824.0,1.22,30.351584353844093,-4.3,26.772971929104806
TIC 144730053,K0 V,5448.0,0.901,30.298505910360674,-4.204,26.353971929104805
TIC 14614418,G V,5600.0,1.02,30.314284666749714,-4.26,26.551451929104807
TIC 146520535,K2.5 V,4969.0,0.893,30.24298858251084,-4.54,26.224441929104806
TIC 14661418,K V,4803.0,0.689,30.178747686256152,-4.54,25.937081929104806
TIC 149601126,K8 V,5096.0,0.785,30.227413600604624,-4.4,26.142881929104806
TIC 149918151,K5 V,4309.0,0.696,30.155234800743557,-4.288,25.761951929104807
TIC 150030205,K3 V,5152.0,0.78,30.218629236651395,-4.59,26.169331929104807
TIC 150151262,K4.5 V,4622.0,0.674,30.163016991419067,-4.56,25.855041929104807
TIC 150428135,M2.5 V,3459.0,0.421,29.916554007072765,-4.61,24.942811929104806
TIC 151724385,G3 V,5715.0,1.082,30.253230701339735,-4.8100000000000005,26.636051929104806
TIC 151759246,K3 V,4850.0,0.773,30.189485507350362,-4.58,26.072931929104804
TIC 153289168,G4 V,5727.0,0.999,30.304971952609904,-4.63,26.574201929104806
TIC 155315739,M1 V,3688.0,0.4712,29.98781476948429,-4.6,25.148821929104805
TIC 156067565,K0 V,5360.0,1.46,30.355410761697147,-4.36,26.784371929104807
TIC 158588995,M2 V,3514.0,0.42,29.921755200758575,-4.37,24.968581929104808
TIC 158668572,G2 V,5800.0,1.35,30.28077714340024,-4.73,26.872971929104807
TIC 158984573,G5 V,5518.0,0.979,30.28527764462692,-4.83,26.480971929104808
TIC 159019691,G9 V,5293.0,0.999,30.240017342995078,-4.38,26.429931929104807
TIC 162802770,F9 V,6100.0,1.336,30.36296389958759,-4.69,26.923411929104805
TIC 163539739,M0 V,3799.0,0.573,30.03089967018364,-4.55,25.371141929104805
TIC 164458488,K2 V,4925.0,0.64,30.13735500109793,-4.91,25.904971929104807
TIC 165796397,F8 V,6330.0,1.55,30.43204481873089,-4.29,27.122971929104807
TIC 166646191,M1.5 V,3601.0,0.392,29.889570517387174,-4.63,24.873001929104806
TIC 16917838,K7 V,4135.0,0.619,30.09715655580594,-4.55,25.587211929104807
TIC 173103335,M V,3844.0,0.546,30.038078254810767,-4.697,25.351611929104806
TIC 175261852,M3.0 V,3385.0,0.35,29.852388937004548,-4.56,24.759061929104806
TIC 175371068,M0.0 V,3978.0,0.649,30.125875183414497,-4.35,25.565241929104808
TIC 176188045,M2.5 V,3557.0,0.453,29.95171842413602,-4.54,25.096191929104805
TIC 176287658,M5.5 V,3024.0,0.137,29.3776871564083,-4.79,23.730961929104804
TIC 178217113,F9 V,6132.0,1.526,30.40605504010536,-4.3,27.053971929104804
TIC 181804752,M(6.1 +/- 0.7) V,2960.0,0.182,29.441520710614768,-4.63,23.944701929104806
TIC 18277196,G5 V,5793.0,1.0,30.298505910360674,-4.45,26.624361929104808
TIC 18310799,K5 V,4364.0,0.71,30.14976425907975,-4.39,25.797811929104807
